"URL","Path","Title","Meta Description","Canonical URL","Schemas Present","Status"
"https://www.mansarafoods.com/","/","Mansara Foods | Healthy Porridge Mixes, Health Mix &amp; Idly...","Pure, traditional health mixes, porridge mixes, and idly podis from Mansara Foods, Chennai. Nutritious food for all ages, made the traditional way.","https://www.mansarafoods.com/","Organization; LocalBusiness; WebSite","PASS"
"https://www.mansarafoods.com/products","/products","Health Mix &amp; Idly Podi Catalog | Mansara Foods","Explore pure traditional South Indian health mixes, sprouted urad porridge mixes &amp; authentic idly podis from Mansara Foods Chennai. Order online.","https://www.mansarafoods.com/products","Organization; BreadcrumbList","PASS"
"https://www.mansarafoods.com/combos","/combos","Special Health Mix Combos &amp; Savings Packs | Mansara Foods","Save on traditional health mixes and porridge packs with Mansara Foods value combos. Best health mix bundles crafted in Chennai for complete family well...","https://www.mansarafoods.com/combos","Organization; BreadcrumbList","PASS"
"https://www.mansarafoods.com/offers","/offers","Special Offers &amp; Discounts on Health Mixes | Mansara Foods","Explore exclusive deals and discounts on traditional health mixes, porridge mixes, and idly podis from Mansara Foods. Premium natural nutrition at speci...","https://www.mansarafoods.com/offers","Organization; BreadcrumbList","PASS"
"https://www.mansarafoods.com/new-arrivals","/new-arrivals","New Arrivals &amp; Latest Health Mixes | Mansara Foods","Discover the latest healthy products from Mansara Foods including Ragi Choco Malt and new traditional health mix releases in Chennai.","https://www.mansarafoods.com/new-arrivals","Organization; BreadcrumbList","PASS"
"https://www.mansarafoods.com/about","/about","About Us | Pure &amp; Traditional Food Brand in Chennai | Man...","Learn about Mansara Foods, founded by Deepika Harikrishnan. Our story is rooted in Chennai, bringing traditional health mixes and pure oils to your home...","https://www.mansarafoods.com/about","Organization; LocalBusiness; BreadcrumbList","PASS"
"https://www.mansarafoods.com/contact","/contact","Contact Us | Mansara Foods Chennai","Have questions about our health mixes? Get in touch with Mansara Foods Chennai. We&#x27;re here to help with orders, product info, and healthy eating tips. C...","https://www.mansarafoods.com/contact","Organization; LocalBusiness; BreadcrumbList","PASS"
"https://www.mansarafoods.com/blog","/blog","Health &amp; Wellness Blog | Traditional Food Stories | Mansa...","Read articles and health tips from Mansara Foods. Discover benefits of traditional porridge mixes, black rice, millets, and healthy South Indian recipes.","https://www.mansarafoods.com/blog","Organization; BreadcrumbList","PASS"
"https://www.mansarafoods.com/press","/press","Press Releases &amp; Newsroom | Mansara Foods","Official press releases, media kits, and brand newsroom updates from Mansara Foods. Stay informed on our latest company developments in Chennai.","https://www.mansarafoods.com/press","Organization","PASS"
"https://www.mansarafoods.com/careers","/careers","Careers at Mansara Foods | Join Our Team in Chennai","Join Mansara Foods and build a career in traditional health foods and natural nutrition. View open job positions in Chennai and grow with us.","https://www.mansarafoods.com/careers","Organization","PASS"
"https://www.mansarafoods.com/terms-and-conditions","/terms-and-conditions","Terms &amp; Conditions | Mansara Foods","Terms and conditions for using the Mansara Foods website and purchasing our health mixes and food products.","https://www.mansarafoods.com/terms-and-conditions","Organization","PASS"
"https://www.mansarafoods.com/privacy-policy","/privacy-policy","Privacy Policy | Mansara Foods","Privacy policy of Mansara Foods explaining how we handle customer data, privacy, and security.","https://www.mansarafoods.com/privacy-policy","Organization","PASS"
"https://www.mansarafoods.com/delivery-shipping-policy","/delivery-shipping-policy","Delivery &amp; Shipping Policy | Mansara Foods","Delivery and shipping information for domestic and international orders from Mansara Foods.","https://www.mansarafoods.com/delivery-shipping-policy","Organization","PASS"
"https://www.mansarafoods.com/refund-return-policy","/refund-return-policy","Refund &amp; Return Policy | Mansara Foods","Refund and return policy for food products purchased from Mansara Foods.","https://www.mansarafoods.com/refund-return-policy","Organization","PASS"
"https://www.mansarafoods.com/product/urad-porridge-mix-classic","/product/urad-porridge-mix-classic","Urad Health Mix – Classic | Health Mix | Mansara Foods","A traditional, wholesome porridge made with simple, time-tested ingredients for daily nourishment and easy digestion.","https://www.mansarafoods.com/product/urad-porridge-mix-classic","Organization; Product; BreadcrumbList","PASS"
"https://www.mansarafoods.com/product/urad-porridge-mix-salt-pepper","/product/urad-porridge-mix-salt-pepper","Urad Health Mix – Salt n Pepper | Health Mix | Mansara Foods","A savoury porridge variant infused with pepper and cumin, ideal for light meals and comfort food needs.","https://www.mansarafoods.com/product/urad-porridge-mix-salt-pepper","Organization; Product; BreadcrumbList","PASS"
"https://www.mansarafoods.com/product/urad-porridge-mix-millet-magic","/product/urad-porridge-mix-millet-magic","Urad Health Mix – Millet Magic | Health Mix | Mansara Foods","A nutritious porridge mix crafted with premium black gram and a carefully balanced selection of traditional millets.","https://www.mansarafoods.com/product/urad-porridge-mix-millet-magic","Organization; Product; BreadcrumbList","PASS"
"https://www.mansarafoods.com/product/urad-porridge-mix-premium","/product/urad-porridge-mix-premium","Urad Health Mix – Premium | Health Mix | Mansara Foods","A premium porridge blend formulated with black gram, ragi, and a diverse selection of traditional Indian rice varieties.","https://www.mansarafoods.com/product/urad-porridge-mix-premium","Organization; Product; BreadcrumbList","PASS"
"https://www.mansarafoods.com/product/black-rice-delight-porridge-mix","/product/black-rice-delight-porridge-mix","Health Mix – Black Rice Delight | Health Mix | Mansara Foods","A wholesome porridge blend formulated with traditional black rice (kavuni) and a balanced mix of grains including wheat and barley.","https://www.mansarafoods.com/product/black-rice-delight-porridge-mix","Organization; Product; BreadcrumbList","PASS"
"https://www.mansarafoods.com/product/millet-fusion-idly-podi","/product/millet-fusion-idly-podi","Idly Podi – Millet Fusion | Health Mix | Mansara Foods","A flavourful South Indian-style condiment formulated with a combination of lentils, traditional millets, and natural spices.","https://www.mansarafoods.com/product/millet-fusion-idly-podi","Organization; Product; BreadcrumbList","PASS"
